iter	MultiClass
0	1.013343758
1	0.9366890525
2	0.8761681427
3	0.8235670983
4	0.7753827377
5	0.7297353143
6	0.6883509947
7	0.650975832
8	0.6113035411
9	0.5843254701
10	0.5541362387
11	0.5263178099
12	0.5015127537
13	0.476753594
14	0.4551510469
15	0.4342707238
16	0.4144919968
17	0.3962960153
18	0.3789533988
19	0.3634833021
20	0.351002198
21	0.3373476792
22	0.3244985705
23	0.3135533532
24	0.3034940235
25	0.2924515522
26	0.2819004589
27	0.2721096669
28	0.2649793881
29	0.2588224966
30	0.2512348782
31	0.243841415
32	0.2374295525
33	0.2301540954
34	0.2247618867
35	0.2172575836
36	0.2122622815
37	0.2070734959
38	0.2027307163
39	0.1995704231
40	0.1951131042
41	0.1906465386
42	0.1863003068
43	0.1827382874
44	0.1776396909
45	0.1745788189
46	0.1705738014
47	0.1672443334
48	0.1642514517
49	0.1608797502
50	0.1576996208
51	0.1550008166
52	0.1521715522
53	0.1495822282
54	0.1467326345
55	0.1437606475
56	0.1411778614
57	0.1392886692
58	0.1369962578
59	0.1349696827
60	0.1333764656
61	0.1309939697
62	0.1294876081
63	0.1277152659
64	0.1257361183
65	0.1244068183
66	0.1220088828
67	0.1203215439
68	0.1191724567
69	0.1174743933
70	0.1153038235
71	0.1139822082
72	0.1120632167
73	0.11036998
74	0.1089506229
75	0.1077217025
76	0.1063871983
77	0.1043300179
78	0.1030155824
79	0.1019366737
80	0.1007319073
81	0.09941592358
82	0.09820329818
83	0.09679456853
84	0.09588425062
85	0.09435347024
86	0.09293405334
87	0.09143410817
88	0.09050828455
89	0.08943966665
90	0.08818495928
91	0.08708317199
92	0.0857750596
93	0.08477942857
94	0.08359226769
95	0.08270802579
96	0.08194909455
97	0.0809333973
98	0.08017720854
99	0.0791675472
100	0.07837384155
101	0.07754275217
102	0.07678853523
103	0.07609619343
104	0.07533802725
105	0.07443125376
106	0.07378020202
107	0.0730693232
108	0.07216239366
109	0.07156181165
110	0.07073406405
111	0.06993078319
112	0.06908602929
113	0.06846406668
114	0.06783255789
115	0.06725136316
116	0.06655616419
117	0.0659325493
118	0.06493867662
119	0.06430472662
120	0.06335933576
121	0.0624818113
122	0.06192918706
123	0.06150601941
124	0.06083294793
125	0.06012825536
126	0.05973150133
127	0.0591360817
128	0.05864773355
129	0.05805188625
130	0.0574278355
131	0.0570018234
132	0.05656120008
133	0.05610378683
134	0.05562313245
135	0.05508373129
136	0.0544083774
137	0.05383710675
138	0.05335984128
139	0.05284374302
140	0.05236633096
141	0.05186139291
142	0.05146470791
143	0.05096877638
144	0.05067656828
145	0.05021850521
146	0.04983692096
147	0.04937812029
148	0.04875360439
149	0.04833778393
150	0.04799277431
151	0.04764877502
152	0.04722634169
153	0.04687553109
154	0.04637791939
155	0.04613545722
156	0.04572687588
157	0.04522507334
158	0.04492801323
159	0.04466141529
160	0.04430863581
161	0.04393715229
162	0.04362184772
163	0.04326465565
164	0.04291598079
165	0.04265421066
166	0.04235044192
167	0.04212473968
168	0.04182680027
169	0.04154714163
170	0.041316365
171	0.0409983837
172	0.04068219443
173	0.04028800017
174	0.04002030517
175	0.03963438295
176	0.03929597777
177	0.03894604661
178	0.03866599556
179	0.03850082563
180	0.03816936434
181	0.03789200672
182	0.03749666118
183	0.03712156063
184	0.03695115372
185	0.03674955657
186	0.03647523581
187	0.03622448504
188	0.03586076028
189	0.03572584347
190	0.03547813649
191	0.03514328227
192	0.0349179716
193	0.03467990096
194	0.03438422934
195	0.03421057488
196	0.03402004847
197	0.03378913722
198	0.03360640112
199	0.03342738777
200	0.03324996389
201	0.03308563513
202	0.03286909656
203	0.0326468612
204	0.03248014583
205	0.03233534098
206	0.03217861321
207	0.03197480192
208	0.03183377584
209	0.03169758954
210	0.0315010419
211	0.03125284101
212	0.03100595777
213	0.03088784724
214	0.03076559724
215	0.03066638571
216	0.03052820608
217	0.03039026945
218	0.03012404934
219	0.02997041633
220	0.02978791142
221	0.02959983743
222	0.02948921936
223	0.02933020415
224	0.02923453981
225	0.02906480153
226	0.02891531044
227	0.02878287622
228	0.02854185559
229	0.02832126331
230	0.02816078331
231	0.02805107677
232	0.02795694175
233	0.02781617205
234	0.02758963691
235	0.02749641055
236	0.02738529586
237	0.0271596679
238	0.02697059552
239	0.02686326993
240	0.02672691348
241	0.02661788118
242	0.02647967432
243	0.02636071758
244	0.02624612911
245	0.02608630115
246	0.02598199797
247	0.02580346886
248	0.02566622297
249	0.02553372607
250	0.02545724909
251	0.02533105569
252	0.02524146836
253	0.02513135497
254	0.0250345618
255	0.02493999807
256	0.02484358369
257	0.02474034468
258	0.02467269779
259	0.02459063196
260	0.02450478609
261	0.02442671419
262	0.02433151855
263	0.02424440762
264	0.02408791392
265	0.02396338443
266	0.0238112259
267	0.02369067199
268	0.02363971952
269	0.02351416393
270	0.02337462381
271	0.02326756881
272	0.02313003267
273	0.02304731265
274	0.02293656579
275	0.02284955418
276	0.02277485139
277	0.02268831218
278	0.02261014452
279	0.02250713848
